DATE,CPIAUCSL_NBD20231001
1987-10-01,0.37430250000000000000
1988-01-01,0.37722340000000000000
1988-04-01,0.38155060000000000000
1988-07-01,0.38620230000000000000
1988-10-01,0.39042130000000000000
1989-01-01,0.39485670000000000000
1989-04-01,0.40123930000000000000
1989-07-01,0.40437650000000000000
1989-10-01,0.40848740000000000000
1990-01-01,0.41551910000000000000
1990-04-01,0.41962990000000000000
1990-07-01,0.42687790000000000000
1990-10-01,0.43412600000000000000
1991-01-01,0.43737140000000000000
1991-04-01,0.43996770000000000000
1991-07-01,0.44332130000000000000
1991-10-01,0.44699940000000000000
1992-01-01,0.45002850000000000000
1992-04-01,0.45349020000000000000
1992-07-01,0.45695200000000000000
1992-10-01,0.46095460000000000000
1993-01-01,0.46430820000000000000
1993-04-01,0.46766180000000000000
1993-07-01,0.46982540000000000000
1993-10-01,0.47371990000000000000
1994-01-01,0.47609980000000000000
1994-04-01,0.47880430000000000000
1994-07-01,0.48323970000000000000
1994-10-01,0.48605240000000000000
1995-01-01,0.48962230000000000000
1995-04-01,0.49362500000000000000
1995-07-01,0.49611310000000000000
1995-10-01,0.49881760000000000000
1996-01-01,0.50325300000000000000
1996-04-01,0.50758020000000000000
1996-07-01,0.51050100000000000000
1996-10-01,0.51493640000000000000
1997-01-01,0.51807360000000000000
1997-04-01,0.51926360000000000000
1997-07-01,0.52185990000000000000
1997-10-01,0.52467260000000000000
1998-01-01,0.52575440000000000000
1998-04-01,0.52748530000000000000
1998-07-01,0.53018980000000000000
1998-10-01,0.53267790000000000000
1999-01-01,0.53462510000000000000
1999-04-01,0.53862780000000000000
1999-07-01,0.54263050000000000000
1999-10-01,0.54663310000000000000
2000-01-01,0.55204210000000000000
2000-04-01,0.55636930000000000000
2000-07-01,0.56145380000000000000
2000-10-01,0.56545640000000000000
2001-01-01,0.57086540000000000000
2001-04-01,0.57486810000000000000
2001-07-01,0.57649080000000000000
2001-10-01,0.57605810000000000000
2002-01-01,0.57789710000000000000
2002-04-01,0.58244070000000000000
2002-07-01,0.58557790000000000000
2002-10-01,0.58903960000000000000
2003-01-01,0.59509770000000000000
2003-04-01,0.59412410000000000000
2003-07-01,0.59855950000000000000
2003-10-01,0.60083130000000000000
2004-01-01,0.60591570000000000000
2004-04-01,0.61067560000000000000
2004-07-01,0.61457010000000000000
2004-10-01,0.62116910000000000000
2005-01-01,0.62430630000000000000
2005-04-01,0.62852530000000000000
2005-07-01,0.63804510000000000000
2005-10-01,0.64399500000000000000
2006-01-01,0.64734860000000000000
2006-04-01,0.65319030000000000000
2006-07-01,0.65935660000000000000
2006-10-01,0.65665210000000000000
2007-01-01,0.66308990000000000000
2007-04-01,0.67059970000000000000
2007-07-01,0.67484470000000000000
2007-10-01,0.68312260000000000000
2008-01-01,0.69052210000000000000
2008-04-01,0.69950540000000000000
2008-07-01,0.71029090000000000000
2008-10-01,0.69402390000000000000
2009-01-01,0.68924990000000000000
2009-04-01,0.69291510000000000000
2009-07-01,0.69887690000000000000
2009-10-01,0.70434860000000000000
2010-01-01,0.70546500000000000000
2010-04-01,0.70521620000000000000
2010-07-01,0.70728350000000000000
2010-10-01,0.71301060000000000000
2011-01-01,0.72062000000000000000
2011-04-01,0.72881350000000000000
2011-07-01,0.73356580000000000000
2011-10-01,0.73685880000000000000
2012-01-01,0.74100860000000000000
2012-04-01,0.74257290000000000000
2012-07-01,0.74592540000000000000
2012-10-01,0.75088550000000000000
2013-01-01,0.75390370000000000000
2013-04-01,0.75307830000000000000
2013-07-01,0.75715120000000000000
2013-10-01,0.75995090000000000000
2014-01-01,0.76468380000000000000
2014-04-01,0.76874490000000000000
2014-07-01,0.77071160000000000000
2014-10-01,0.76879680000000000000
2015-01-01,0.76382050000000000000
2015-04-01,0.76902940000000000000
2015-07-01,0.77193400000000000000
2015-10-01,0.77187560000000000000
2016-01-01,0.77139640000000000000
2016-04-01,0.77756590000000000000
2016-07-01,0.78086640000000000000
2016-10-01,0.78582320000000000000
2017-01-01,0.79135340000000000000
2017-04-01,0.79226640000000000000
2017-07-01,0.79605380000000000000
2017-10-01,0.80238670000000000000
2018-01-01,0.80914790000000000000
2018-04-01,0.81355300000000000000
2018-07-01,0.81682220000000000000
2018-10-01,0.82014760000000000000
2019-01-01,0.82242920000000000000
2019-04-01,0.82829030000000000000
2019-07-01,0.83109760000000000000
2019-10-01,0.83694800000000000000
2020-01-01,0.83991860000000000000
2020-04-01,0.83184510000000000000
2020-07-01,0.84133470000000000000
2020-10-01,0.84719370000000000000
2021-01-01,0.85592170000000000000
2021-04-01,0.87157640000000000000
2021-07-01,0.88562790000000000000
2021-10-01,0.90451390000000000000
2022-01-01,0.92459320000000000000
2022-04-01,0.94614910000000000000
2022-07-01,0.95900090000000000000
2022-10-01,0.96883230000000000000
2023-01-01,0.97793780000000000000
2023-04-01,0.98449460000000000000
2023-07-01,0.99319760000000000000
2023-10-01,1.00000000000000000000
