DATE,PCEPI_NBD20230701
1999-10-01,0.60083280000000000000
2000-01-01,0.60571640000000000000
2000-04-01,0.60860080000000000000
2000-07-01,0.61252210000000000000
2000-10-01,0.61598560000000000000
2001-01-01,0.62054650000000000000
2001-04-01,0.62345580000000000000
2001-07-01,0.62377010000000000000
2001-10-01,0.62402380000000000000
2002-01-01,0.62528130000000000000
2002-04-01,0.62992220000000000000
2002-07-01,0.63318170000000000000
2002-10-01,0.63613780000000000000
2003-01-01,0.64099930000000000000
2003-04-01,0.64164180000000000000
2003-07-01,0.64586920000000000000
2003-10-01,0.64904590000000000000
2004-01-01,0.65405080000000000000
2004-04-01,0.65845190000000000000
2004-07-01,0.66168930000000000000
2004-10-01,0.66734780000000000000
2005-01-01,0.67122770000000000000
2005-04-01,0.67546880000000000000
2005-07-01,0.68275700000000000000
2005-10-01,0.68819490000000000000
2006-01-01,0.69177150000000000000
2006-04-01,0.69784080000000000000
2006-07-01,0.70285960000000000000
2006-10-01,0.70170140000000000000
2007-01-01,0.70811550000000000000
2007-04-01,0.71412700000000000000
2007-07-01,0.71816400000000000000
2007-10-01,0.72546600000000000000
2008-01-01,0.73136720000000000000
2008-04-01,0.73849000000000000000
2008-07-01,0.74637110000000000000
2008-10-01,0.73445290000000000000
2009-01-01,0.72949210000000000000
2009-04-01,0.73239020000000000000
2009-07-01,0.73744210000000000000
2009-10-01,0.74313090000000000000
2010-01-01,0.74600430000000000000
2010-04-01,0.74715970000000000000
2010-07-01,0.74859920000000000000
2010-10-01,0.75339460000000000000
2011-01-01,0.75972040000000000000
2011-04-01,0.76719060000000000000
2011-07-01,0.77073680000000000000
2011-10-01,0.77328200000000000000
2012-01-01,0.77840830000000000000
2012-04-01,0.78028900000000000000
2012-07-01,0.78255570000000000000
2012-10-01,0.78694300000000000000
2013-01-01,0.78970050000000000000
2013-04-01,0.79010860000000000000
2013-07-01,0.79335430000000000000
2013-10-01,0.79628010000000000000
2014-01-01,0.79993660000000000000
2014-04-01,0.80351590000000000000
2014-07-01,0.80571090000000000000
2014-10-01,0.80464100000000000000
2015-01-01,0.80103410000000000000
2015-04-01,0.80503250000000000000
2015-07-01,0.80712000000000000000
2015-10-01,0.80650510000000000000
2016-01-01,0.80689940000000000000
2016-04-01,0.81202020000000000000
2016-07-01,0.81482190000000000000
2016-10-01,0.81855280000000000000
2017-01-01,0.82332890000000000000
2017-04-01,0.82498620000000000000
2017-07-01,0.82790090000000000000
2017-10-01,0.83285630000000000000
2018-01-01,0.83868020000000000000
2018-04-01,0.84308410000000000000
2018-07-01,0.84591610000000000000
2018-10-01,0.84912310000000000000
2019-01-01,0.85106990000000000000
2019-04-01,0.85557580000000000000
2019-07-01,0.85766320000000000000
2019-10-01,0.86101920000000000000
2020-01-01,0.86379610000000000000
2020-04-01,0.86004030000000000000
2020-07-01,0.86713550000000000000
2020-10-01,0.87146480000000000000
2021-01-01,0.88168160000000000000
2021-04-01,0.89516880000000000000
2021-07-01,0.90755570000000000000
2021-10-01,0.92251820000000000000
2022-01-01,0.93969500000000000000
2022-04-01,0.95612730000000000000
2022-07-01,0.96711610000000000000
2022-10-01,0.97698540000000000000
2023-01-01,0.98700360000000000000
2023-04-01,0.99308960000000000000
2023-07-01,1.00000000000000000000
2023-10-01,.
